"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"APH10665","230","Human","NS1","H3N2","USA","N","2016/10/19","Influenza A virus (A/Alabama/14/2016(H3N2))","","","","","","c"
"ARS00262","230","Human","NS1","H3N2","USA","N","2017/03/15","Influenza A virus (A/Alabama/14/2017(H3N2))","","","","","","c"
"AVR41646","498","Human","NP","H3N2","USA","N","2018/02/03","Influenza A virus (A/Alabama/14/2018(H3N2))","","","","","","c"
"AVR41650","757","Human","PB1","H3N2","USA","N","2018/02/03","Influenza A virus (A/Alabama/14/2018(H3N2))","","","","","","c"
"AVR41652","759","Human","PB2","H3N2","USA","N","2018/02/03","Influenza A virus (A/Alabama/14/2018(H3N2))","E627K","","","","","c"
"QCG83908","759","Human","PB2","H3N2","USA","N","2019/02/21","Influenza A virus (A/Alabama/14/2019)","E627K","","","","","c"
"QCG83915","469","Human","NA","H3N2","USA","N","2019/02/21","Influenza A virus (A/Alabama/14/2019)","","","","","","c"
"APT38638","252","Human","PA-X","H3N2","USA","N","2016/11/16","Influenza A virus (A/Alabama/15/2016(H3N2))","","","","","","c"
"APT38639","566","Human","HA","H3N2","USA","N","2016/11/16","Influenza A virus (A/Alabama/15/2016(H3N2))","","","","","","c"
"ARQ86994","759","Human","PB2","H3N2","USA","N","2017/03/20","Influenza A virus (A/Alabama/15/2017(H3N2))","E627K","","","","","c"
"ARQ86995","757","Human","PB1","H3N2","USA","N","2017/03/20","Influenza A virus (A/Alabama/15/2017(H3N2))","","","","","","c"
"ARQ86996","90","Human","PB1-F2","H3N2","USA","N","2017/03/20","Influenza A virus (A/Alabama/15/2017(H3N2))","","","","","","c"
"ARQ86997","716","Human","PA","H3N2","USA","N","2017/03/20","Influenza A virus (A/Alabama/15/2017(H3N2))","","","","","","c"
"QCG83927","469","Human","NA","H3N2","USA","N","2019/03/05","Influenza A virus (A/Alabama/15/2019)","","","","","","c"
"APT38622","759","Human","PB2","H3N2","USA","N","2016/11/27","Influenza A virus (A/Alabama/16/2016(H3N2))","E627K","","","","","c"
"APT38625","716","Human","PA","H3N2","USA","N","2016/11/27","Influenza A virus (A/Alabama/16/2016(H3N2))","","","","","","c"
"APT38626","252","Human","PA-X","H3N2","USA","N","2016/11/27","Influenza A virus (A/Alabama/16/2016(H3N2))","","","","","","c"
"APT38627","566","Human","HA","H3N2","USA","N","2016/11/27","Influenza A virus (A/Alabama/16/2016(H3N2))","","","","","","c"
"APT38629","469","Human","NA","H3N2","USA","N","2016/11/27","Influenza A virus (A/Alabama/16/2016(H3N2))","","","","","","c"
"ARQ86984","90","Human","PB1-F2","H3N2","USA","N","2017/03/29","Influenza A virus (A/Alabama/16/2017(H3N2))","","","","","","c"
"ASU07099","757","Human","PB1","H3N2","USA","N","2017/03/29","Influenza A virus (A/Alabama/16/2017(H3N2))","","","","","","c"
"AVR40638","566","Human","","H1N1","USA","N","2018/02/05","Influenza A virus (A/Alabama/16/2018(H1N1))","","","","","","c"
"AVR40642","759","Human","PB2","H1N1","USA","N","2018/02/05","Influenza A virus (A/Alabama/16/2018(H1N1))","","","","","","c"
"AGZ60886","469","Human","NA","H3N2","USA","N","2012/09/05","Influenza A virus (A/Alabama/17/2012(H3N2))","","","","","","c"
"APW81092","716","Human","PA","H3N2","USA","N","2016/12/14","Influenza A virus (A/Alabama/17/2016(H3N2))","","","","","","c"
"ARQ86975","566","Human","HA","H3N2","USA","N","2017/03/30","Influenza A virus (A/Alabama/17/2017(H3N2))","","","","","","c"
"ARQ86977","469","Human","NA","H3N2","USA","N","2017/03/30","Influenza A virus (A/Alabama/17/2017(H3N2))","","","","","","c"
"ARQ86979","97","Human","M2","H3N2","USA","N","2017/03/30","Influenza A virus (A/Alabama/17/2017(H3N2))","S31N","","","","","c"
"ARQ86980","230","Human","NS1","H3N2","USA","N","2017/03/30","Influenza A virus (A/Alabama/17/2017(H3N2))","","","","","","c"
"AVX28589","716","Human","PA","H1N1","USA","N","2018/02/08","Influenza A virus (A/Alabama/17/2018(H1N1))","","","","","","c"
"QCG82642","566","Human","","H1N1","USA","N","2019/03/10","Influenza A virus (A/Alabama/17/2019)","","","","","","c"
"AGZ61327","566","Human","HA","H3N2","USA","N","2012/10/29","Influenza A virus (A/Alabama/18/2012(H3N2))","","","","","","c"
"ASB16667","566","Human","HA","H3N2","USA","N","2017/05/04","Influenza A virus (A/Alabama/18/2017(H3N2))","","","","","","c"
"AXA18503","759","Human","PB2","H3N2","USA","N","2018/02/10","Influenza A virus (A/Alabama/18/2018)","E627K","","","","","c"
"AXA18510","469","Human","NA","H3N2","USA","N","2018/02/10","Influenza A virus (A/Alabama/18/2018)","","","","","","c"
"ASB16679","566","Human","HA","H3N2","USA","N","2017/05/04","Influenza A virus (A/Alabama/19/2017(H3N2))","","","","","","c"
"AVX28598","759","Human","PB2","H1N1","USA","N","2018/02/10","Influenza A virus (A/Alabama/19/2018(H1N1))","","","","","","c"
"AVX28599","757","Human","PB1","H1N1","USA","N","2018/02/10","Influenza A virus (A/Alabama/19/2018(H1N1))","","","","","","c"
"AVX28600","716","Human","PA","H1N1","USA","N","2018/02/10","Influenza A virus (A/Alabama/19/2018(H1N1))","","","","","","c"
"ABU50539","343","Human","HA","H1N1","USA","N","2006/10/05","Influenza A virus (A/Alabama/20/2006(H1N1))","","","","","","p"
"ASB16691","566","Human","HA","H3N2","USA","N","2017/05/04","Influenza A virus (A/Alabama/20/2017(H3N2))","","","","","","c"
"AXA18515","759","Human","PB2","H3N2","USA","N","2018/02/11","Influenza A virus (A/Alabama/20/2018)","E627K","","","","","c"
"QCW13128","759","Human","PB2","H3N2","USA","N","2019/03/21","Influenza A virus (A/Alabama/20/2019)","E627K","","","","","c"
"QCW13135","469","Human","NA","H3N2","USA","N","2019/03/21","Influenza A virus (A/Alabama/20/2019)","","","","","","c"
"ABW23279","392","Human","HA","H1N1","USA","N","2006/12/12","Influenza A virus (A/Alabama/21/2006(H1N1))","","","","","","p"
"ASB16655","566","Human","HA","H3N2","USA","N","2017/05/09","Influenza A virus (A/Alabama/21/2017(H3N2))","","","","","","c"
"QDQ43600","716","Human","PA","H3N2","USA","N","2019/04/04","Influenza A virus (A/Alabama/21/2019)","","","","","","c"
"QDQ43609","566","Human","HA","H3N2","USA","N","2019/04/04","Influenza A virus (A/Alabama/21/2019)","","","","","","c"
"ABW23321","390","Human","HA","H1N1","USA","N","2006/12/21","Influenza A virus (A/Alabama/22/2006(H1N1))","","","","","","p"
"ATX61169","759","Human","PB2","H1N1","USA","N","2017/10/09","Influenza A virus (A/Alabama/22/2017(H1N1))","","","","","","c"
"ATX61173","566","Human","","H1N1","USA","N","2017/10/09","Influenza A virus (A/Alabama/22/2017(H1N1))","","","","","","c"
"ATX61174","498","Human","NP","H1N1","USA","N","2017/10/09","Influenza A virus (A/Alabama/22/2017(H1N1))","","","","","","c"
"ATX61175","469","Human","NA","H1N1","USA","N","2017/10/09","Influenza A virus (A/Alabama/22/2017(H1N1))","","","","","","c"
"ATX61176","252","Human","M1","H1N1","USA","N","2017/10/09","Influenza A virus (A/Alabama/22/2017(H1N1))","S31N","","","","","c"
"ATX61178","219","Human","NS1","H1N1","USA","N","2017/10/09","Influenza A virus (A/Alabama/22/2017(H1N1))","","","","","","c"
"QDQ43616","757","Human","PB1","H3N2","USA","N","2019/04/04","Influenza A virus (A/Alabama/22/2019)","","","","","","c"
"QDQ43621","566","Human","HA","H3N2","USA","N","2019/04/04","Influenza A virus (A/Alabama/22/2019)","","","","","","c"
"ABW23308","392","Human","HA","H1N1","USA","N","2006/12/12","Influenza A virus (A/Alabama/23/2006(H1N1))","","","","","","p"
"ATU89906","90","Human","PB1-F2","H3N2","USA","N","2017/10/17","Influenza A virus (A/Alabama/24/2017(H3N2))","","","","","","c"
"AUD09581","469","Human","NA","H3N2","USA","N","2017/10/19","Influenza A virus (A/Alabama/25/2017(H3N2))","","","","","","c"
"AXB52502","759","Human","PB2","H3N2","USA","N","2018/02/09","Influenza A virus (A/Alabama/26/2018)","E627K","","","","","c"
"AXB52503","566","Human","HA","H3N2","USA","N","2018/02/09","Influenza A virus (A/Alabama/26/2018)","","","","","","c"
"QHX37664","566","Human","","H1N1","USA","N","2019/12/11","Influenza A virus (A/Alabama/26/2019)","","","","","","c"
"AUM85252","716","Human","PA","H3N2","USA","N","2017/11/12","Influenza A virus (A/Alabama/27/2017(H3N2))","","","","","","c"
"AUM85253","252","Human","PA-X","H3N2","USA","N","2017/11/12","Influenza A virus (A/Alabama/27/2017(H3N2))","","","","","","c"
"AUM85256","469","Human","NA","H3N2","USA","N","2017/11/12","Influenza A virus (A/Alabama/27/2017(H3N2))","","","","","","c"
"QIJ23646","759","Human","PB2","H1N1","USA","N","2019/12/23","Influenza A virus (A/Alabama/27/2019)","","","","","","c"
"QIJ23648","716","Human","PA","H1N1","USA","N","2019/12/23","Influenza A virus (A/Alabama/27/2019)","","","","","","c"
"QIJ23649","232","Human","PA-X","H1N1","USA","N","2019/12/23","Influenza A virus (A/Alabama/27/2019)","","","","","","c"
"AUI43559","759","Human","PB2","H1N1","USA","N","2017/11/14","Influenza A virus (A/Alabama/28/2017(H1N1))","","","","","","c"
"AUI43563","566","Human","","H1N1","USA","N","2017/11/14","Influenza A virus (A/Alabama/28/2017(H1N1))","","","","","","c"
"AUI43564","498","Human","NP","H1N1","USA","N","2017/11/14","Influenza A virus (A/Alabama/28/2017(H1N1))","","","","","","c"
"AUI43565","469","Human","NA","H1N1","USA","N","2017/11/14","Influenza A virus (A/Alabama/28/2017(H1N1))","","","","","","c"
"AXB52523","469","Human","NA","H1N1","USA","N","2018/02/13","Influenza A virus (A/Alabama/29/2018)","","","","","","c"
"AXB52531","759","Human","PB2","H1N1","USA","N","2018/02/13","Influenza A virus (A/Alabama/29/2018)","","","","","","c"
"AFM45455","400","Human","HA","H1N1","USA","N","2012/04/11","Influenza A virus (A/Alabama/2966/2012(H1N1))","","","","","","p"
"AXB52538","469","Human","NA","H3N2","USA","N","2018/02/13","Influenza A virus (A/Alabama/30/2018)","","","","","","c"
"AXB52539","716","Human","PA","H3N2","USA","N","2018/02/13","Influenza A virus (A/Alabama/30/2018)","","","","","","c"
"AGF44915","566","Human","HA","H3N2","USA","N","2012/12/11","Influenza A virus (A/Alabama/3101/2012(H3N2))","","","","","","c"
"AGF44949","550","Human","HA","H3N2","USA","N","2012/12/04","Influenza A virus (A/Alabama/3135/2012(H3N2))","","","","","","p"
"AGF44956","550","Human","HA","H3N2","USA","N","2012/12/05","Influenza A virus (A/Alabama/3142/2012(H3N2))","","","","","","p"
"AXF93472","97","Human","M2","H1","USA","N","2017/12/10","Influenza A virus (A/Alabama/32/2017)","S31N","","","","","c"
"AXB52548","232","Human","PA-X","H1N1","USA","N","2018/02/19","Influenza A virus (A/Alabama/32/2018)","","","","","","c"
"AXB52551","757","Human","PB1","H1N1","USA","N","2018/02/19","Influenza A virus (A/Alabama/32/2018)","","","","","","c"
"AVP06282","498","Human","NP","H3N2","USA","N","2017/12/14","Influenza A virus (A/Alabama/33/2017(H3N2))","","","","","","c"
"AVP06284","97","Human","M2","H3N2","USA","N","2017/12/14","Influenza A virus (A/Alabama/33/2017(H3N2))","","","","","","c"
"AZG04723","716","Human","PA","H1N1","USA","N","2018/10/02","Influenza A virus (A/Alabama/33/2018)","","","","","","c"
"AZG04724","566","Human","","H1N1","USA","N","2018/10/02","Influenza A virus (A/Alabama/33/2018)","","","","","","c"
"AZG04726","469","Human","NA","H1N1","USA","N","2018/10/02","Influenza A virus (A/Alabama/33/2018)","","","","","","c"
"AGQ16248","566","Human","HA","H1N1","USA","N","2013/04/19","Influenza A virus (A/Alabama/3317/2013(H1N1))","","","","","","c"
"AVP08372","716","Human","PA","H1N1","USA","N","2017/12/15","Influenza A virus (A/Alabama/34/2017(H1N1))","","","","","","c"
"AVP08374","566","Human","","H1N1","USA","N","2017/12/15","Influenza A virus (A/Alabama/34/2017(H1N1))","","","","","","c"
"AVP08379","219","Human","NS1","H1N1","USA","N","2017/12/15","Influenza A virus (A/Alabama/34/2017(H1N1))","","","","","","c"
"AZJ60866","759","Human","PB2","H1N1","USA","N","2018/10/17","Influenza A virus (A/Alabama/34/2018)","","","","","","c"
"AZJ60870","566","Human","","H1N1","USA","N","2018/10/17","Influenza A virus (A/Alabama/34/2018)","","","","","","c"
"AZJ60875","230","Human","NS1","H1N1","USA","N","2018/10/17","Influenza A virus (A/Alabama/34/2018)","","","","","","c"
"AGZ60868","469","Human","NA","H3N2","USA","N","2012/12/18","Influenza A virus (A/Alabama/35/2012(H3N2))","","","","","","c"
"AZS64793","469","Human","NA","H1N1","USA","N","2018/10/23","Influenza A virus (A/Alabama/35/2018)","","","","","","c"
"AVP06309","498","Human","NP","H3N2","USA","N","2017/12/21","Influenza A virus (A/Alabama/36/2017(H3N2))","","","","","","c"
"AVP06311","716","Human","PA","H3N2","USA","N","2017/12/21","Influenza A virus (A/Alabama/36/2017(H3N2))","","","","","","c"
"AVP06312","252","Human","PA-X","H3N2","USA","N","2017/12/21","Influenza A virus (A/Alabama/36/2017(H3N2))","","","","","","c"
"AVP06313","757","Human","PB1","H3N2","USA","N","2017/12/21","Influenza A virus (A/Alabama/36/2017(H3N2))","","","","","","c"
"AIC73739","566","Human","HA","H1N1","USA","N","2014/02/27","Influenza A virus (A/Alabama/3717/2014(H1N1))","","","","","","c"
"AIC73740","566","Human","HA","H1N1","USA","N","2014/03/19","Influenza A virus (A/Alabama/3718/2014(H1N1))","","","","","","c"
"AIC73741","566","Human","HA","H3N2","USA","N","2014/03/24","Influenza A virus (A/Alabama/3719/2014(H3N2))","","","","","","c"
"QAY28234","759","Human","PB2","H1N1","USA","N","2018/11/24","Influenza A virus (A/Alabama/38/2018)","","","","","","c"
"AKA54735","97","Human","M2","H3N2","USA","N","2014/03/24","Influenza A virus (A/Alabama/3945/2014(H3N2))","S31N","","","","","c"
"QAY28249","566","Human","","H1N1","USA","N","2018/12/01","Influenza A virus (A/Alabama/40/2018)","","","","","","c"
"QAY28250","498","Human","NP","H1N1","USA","N","2018/12/01","Influenza A virus (A/Alabama/40/2018)","","","","","","c"
"ALA08472","566","Human","HA","H3N2","USA","N","2014/10/21","Influenza A virus (A/Alabama/4006/2014(H3N2))","","","","","","c"
"ALA08473","566","Human","HA","H3N2","USA","N","2014/10/23","Influenza A virus (A/Alabama/4007/2014(H3N2))","","","","","","c"
"ALA08491","566","Human","HA","H3N2","USA","N","2014/11/24","Influenza A virus (A/Alabama/4025/2014(H3N2))","","","","","","c"
"APF31970","469","Human","NA","H3N2","USA","N","2014/11/25","Influenza A virus (A/Alabama/4026/2014(H3N2))","","","","","","c"
"QAY27163","87","Human","PB1-F2","H3N2","USA","N","2018/12/03","Influenza A virus (A/Alabama/41/2018)","","","","","","c"
"QAY27164","716","Human","PA","H3N2","USA","N","2018/12/03","Influenza A virus (A/Alabama/41/2018)","","","","","","c"
"QAY27168","469","Human","NA","H3N2","USA","N","2018/12/03","Influenza A virus (A/Alabama/41/2018)","","","","","","c"
"QBL96301","469","Human","NA","H1N1","USA","N","2018/12/11","Influenza A virus (A/Alabama/42/2018)","","","","","","c"
"ALE31613","566","Human","HA","H3N2","USA","N","2014/12/16","Influenza A virus (A/Alabama/4226/2014(H3N2))","","","","","","c"
"ALE31615","566","Human","HA","H3N2","USA","N","2015/01/05","Influenza A virus (A/Alabama/4228/2015(H3N2))","","","","","","c"
"QBL89930","759","Human","PB2","H3N2","USA","N","2018/12/11","Influenza A virus (A/Alabama/43/2018)","E627K","","","","","c"
"ALE31774","566","Human","HA","H3N2","USA","N","2015/01/09","Influenza A virus (A/Alabama/4387/2015(H3N2))","","","","","","c"
"QBL89942","759","Human","PB2","H3N2","USA","N","2018/12/11","Influenza A virus (A/Alabama/44/2018)","E627K","","","","","c"
"QBL89947","566","Human","HA","H3N2","USA","N","2018/12/11","Influenza A virus (A/Alabama/44/2018)","","","","","","c"
"QBF65985","566","Human","","H1N1","USA","N","2018/12/30","Influenza A virus (A/Alabama/45/2018)","","","","","","c"
"APF45875","566","Human","HA","H1N1","USA","N","2016/02/09","Influenza A virus (A/Alabama/4964/2016(H1N1))","","","","","","c"
"APF46400","566","Human","HA","H1N1","USA","N","2016/02/19","Influenza A virus (A/Alabama/4995/2016(H1N1))","","","","","","c"
"APF46401","566","Human","HA","H1N1","USA","N","2016/02/22","Influenza A virus (A/Alabama/4996/2016(H1N1))","","","","","","c"
"APG55935","566","Human","HA","H1N1","USA","N","2016/03/04","Influenza A virus (A/Alabama/5101/2016(H1N1))","","","","","","c"
"APQ44646","566","Human","HA","H1N1","USA","N","2016/03/22","Influenza A virus (A/Alabama/5358/2016(H1N1))","","","","","","c"
"APR73818","566","Human","HA","H1N1","USA","N","2016/03/09","Influenza A virus (A/Alabama/5431/2016(H1N1))","","","","","","c"
"ATD11091","566","Human","HA","H3N2","USA","N","2017/02/09","Influenza A virus (A/Alabama/5923/2017(H3N2))","","","","","","c"
"ATD11252","566","Human","HA","H3N2","USA","N","2017/02/27","Influenza A virus (A/Alabama/6084/2017(H3N2))","","","","","","c"
"ATD11253","566","Human","HA","H3N2","USA","N","2017/02/27","Influenza A virus (A/Alabama/6085/2017(H3N2))","","","","","","c"
"AXX75325","566","Human","HA","H3N2","USA","N","2018/01/25","Influenza A virus (A/Alabama/6754/2018)","","","","","","c"
"AZY88133","716","Human","PA","H1N1","USA","N","2018/01/30","Influenza A virus (A/Alabama/7007/2018)","","","","","","c"
"ACD45765","340","Human","HA","H1N1","USA","N","2008/01/30","Influenza A virus (A/Alabama/AF1210/2008(H1N1))","","16","M","","","p"
"ACD69086","346","Human","HA","H3N2","USA","N","2008/02/05","Influenza A virus (A/Alabama/AF1355/2008(H3N2))","","37","M","","","p"
"ACD69087","347","Human","HA","H3N2","USA","N","2008/02/05","Influenza A virus (A/Alabama/AF1356/2008(H3N2))","","16","F","","","p"
"ACD69088","347","Human","HA","H3N2","USA","N","2008/02/06","Influenza A virus (A/Alabama/AF1357/2008(H3N2))","","41","M","","","p"
"ACD69090","347","Human","HA","H3N2","USA","N","2008/02/11","Influenza A virus (A/Alabama/AF1359/2008(H3N2))","","9","F","","","p"
"ACD69091","347","Human","HA","H3N2","USA","N","2008/02/13","Influenza A virus (A/Alabama/AF1360/2008(H3N2))","","5","F","","","p"
"ACD69092","347","Human","HA","H3N2","USA","N","2008/02/15","Influenza A virus (A/Alabama/AF1361/2008(H3N2))","","50","M","","","p"
"ACD69094","347","Human","HA","H3N2","USA","N","2008/03/14","Influenza A virus (A/Alabama/AF1363/2008(H3N2))","","","","","","p"
"ACH69233","356","Human","HA","H1N1","USA","N","2008/02/05","Influenza A virus (A/Alabama/AF1952/2008(H1N1))","","229","M","","","p"
"ADL40858","400","Human","HA","H1N1","USA","N","2009/11/01","Influenza A virus (A/Alabama/AF2061/2009(H1N1))","","","","","","p"
"ADL40941","400","Human","HA","H1N1","USA","N","2010/01/31","Influenza A virus (A/Alabama/AF2067/2010(H1N1))","","","","","","p"
"ADL40942","400","Human","HA","H1N1","USA","N","2010/01/31","Influenza A virus (A/Alabama/AF2068/2010(H1N1))","","","","","","p"
"ADL40947","400","Human","HA","H1N1","USA","N","2010/02/14","Influenza A virus (A/Alabama/AF2073/2010(H1N1))","","","","","","p"
"ADL40948","400","Human","HA","H1N1","USA","N","2010/02/21","Influenza A virus (A/Alabama/AF2074/2010(H1N1))","","","","","","p"
"ADL40949","400","Human","HA","H1N1","USA","N","2010/02/28","Influenza A virus (A/Alabama/AF2075/2010(H1N1))","","","","","","p"
"ADL40859","367","Human","HA","H1N1","USA","N","2009/07/26","Influenza A virus (A/Alabama/AF2076/2009(H1N1))","","","","","","p"
"ADL40860","367","Human","HA","H1N1","USA","N","2009/08/19","Influenza A virus (A/Alabama/AF2077/2009(H1N1))","","","","","","p"
"ADL40861","367","Human","HA","H1N1","USA","N","2009/08/23","Influenza A virus (A/Alabama/AF2078/2009(H1N1))","","","","","","p"
"ADL40955","400","Human","HA","H3N2","USA","N","2010/07/13","Influenza A virus (A/Alabama/AF2156/2010(H3N2))","","","","","","p"
"ADY05347","566","Human","HA","H3N2","USA","N","2010/12/16","Influenza A virus (A/Alabama/AF2692/2010(H3N2))","","","","","","c"
"ABV29776","759","Human","PB2","H1N1","USA","N","2007/02/28","Influenza A virus (A/Alabama/UR06-0455/2007(H1N1))","E627K","28 Y","M","","","c"
"ABV30658","252","Human","M1","H3N2","USA","N","2007/03/01","Influenza A virus (A/Alabama/UR06-0482/2007(H3N2))","S31N","31 Y","M","","","c"
"ABV30662","230","Human","NS1","H3N2","USA","N","2007/03/01","Influenza A virus (A/Alabama/UR06-0482/2007(H3N2))","","31 Y","M","","","c"
"ABV30664","716","Human","PA","H3N2","USA","N","2007/03/01","Influenza A virus (A/Alabama/UR06-0482/2007(H3N2))","","31 Y","M","","","c"
"ABW86444","97","Human","M2","H1N1","USA","N","2007/03/06","Influenza A virus (A/Alabama/UR06-0536/2007(H1N1))","","64 Y","F","","","c"
"ABW86452","759","Human","PB2","H1N1","USA","N","2007/03/06","Influenza A virus (A/Alabama/UR06-0536/2007(H1N1))","E627K","64 Y","F","","","c"
"ABV30415","566","Human","HA","H3N2","USA","N","2007/03/07","Influenza A virus (A/Alabama/UR06-0545/2007(H3N2))","","25 Y","F","","","c"
"ABV30417","97","Human","M2","H3N2","USA","N","2007/03/07","Influenza A virus (A/Alabama/UR06-0545/2007(H3N2))","","25 Y","F","","","c"
"ABV30418","469","Human","NA","H3N2","USA","N","2007/03/07","Influenza A virus (A/Alabama/UR06-0545/2007(H3N2))","","25 Y","F","","","c"
"ABV30419","498","Human","NP","H3N2","USA","N","2007/03/07","Influenza A virus (A/Alabama/UR06-0545/2007(H3N2))","","25 Y","F","","","c"
"ABV30422","716","Human","PA","H3N2","USA","N","2007/03/07","Influenza A virus (A/Alabama/UR06-0545/2007(H3N2))","","25 Y","F","","","c"
"AET84258","759","Human","PB2","H1N1","USA","N","2009/04/01","Influenza A virus (A/Alabama/WRAIR1235P/2009(H1N1))","E627K","","","","","c"
"AET84264","470","Human","NA","H1N1","USA","N","2009/04/01","Influenza A virus (A/Alabama/WRAIR1235P/2009(H1N1))","H274Y","","","","","c"
"AET84267","230","Human","NS1","H1N1","USA","N","2009/04/01","Influenza A virus (A/Alabama/WRAIR1235P/2009(H1N1))","","","","","","c"
"AET84262","565","Human","HA","H1N1","USA","N","2009/04/01","Influenza A virus (A/Alabama/WRAIR1235P/2009(H1N1))","","","","","","c"
"AEK28841","469","Human","NA","H3N2","USA","N","2009/02/01","Influenza A virus (A/Alabama/WRAIR1242P/2009(H3N2))","","","","","","c"
"ABW23293","548","Human","HA","H1N1","USA","N","2007/02/01","Influenza A virus (A/Alaska/01/2007(H1N1))","","","","","","p"
"ACA33576","470","Human","NA","H1N1","USA","N","2007/02/01","Influenza A virus (A/Alaska/01/2007(H1N1))","","","","","","c"
"ACD47167","469","Human","NA","H3N2","USA","N","2008/01/22","Influenza A virus (A/Alaska/01/2008(H3N2))","","","","","","c"
"ACU44306","470","Human","NA","H1N1","USA","N","2009/01/29","Influenza A virus (A/Alaska/01/2009(H1N1))","H274Y","","","","","c"
"ACU44404","565","Human","HA","H1N1","USA","N","2009/01/29","Influenza A virus (A/Alaska/01/2009(H1N1))","","","","","","c"
"AGI54264","232","Human","PA-X","H1N1","USA","N","2010/02/07","Influenza A virus (A/Alaska/01/2010(H1N1))","","","","","","c"
"AGL04820","469","Human","NA","H1N1","USA","N","2012/03/14","Influenza A virus (A/Alaska/01/2012(H1N1))","","","","","","c"
"AGL04821","566","Human","HA","H1N1","USA","N","2012/03/14","Influenza A virus (A/Alaska/01/2012(H1N1))","","","","","","c"
"AGZ60641","469","Human","NA","H3N2","USA","N","2013/03/06","Influenza A virus (A/Alaska/01/2013(H3N2))","","","","","","c"
"AIE09565","469","Human","NA","H3N2","USA","N","2014/01/19","Influenza A virus (A/Alaska/01/2014(H3N2))","","","","","","c"
"AIE09621","566","Human","HA","H3N2","USA","N","2014/01/19","Influenza A virus (A/Alaska/01/2014(H3N2))","","","","","","c"
"AIE10127","97","Human","M2","H3N2","USA","N","2014/01/19","Influenza A virus (A/Alaska/01/2014(H3N2))","S31N","","","","","c"
"ANM87046","759","Human","PB2","H1N1","USA","N","2016/01/06","Influenza A virus (A/Alaska/01/2016(H1N1))","","","","","","c"
"ANM87048","716","Human","PA","H1N1","USA","N","2016/01/06","Influenza A virus (A/Alaska/01/2016(H1N1))","","","","","","c"
"ANM87049","232","Human","PA-X","H1N1","USA","N","2016/01/06","Influenza A virus (A/Alaska/01/2016(H1N1))","","","","","","c"
"ANM87055","219","Human","NS1","H1N1","USA","N","2016/01/06","Influenza A virus (A/Alaska/01/2016(H1N1))","","","","","","c"
"AQS19843","469","Human","NA","H3N2","USA","N","2017/01/08","Influenza A virus (A/Alaska/01/2017(H3N2))","","","","","","c"
"AVR40643","759","Human","PB2","H1N1","USA","N","2018/01/02","Influenza A virus (A/Alaska/01/2018(H1N1))","","","","","","c"
"AVR40650","566","Human","","H1N1","USA","N","2018/01/02","Influenza A virus (A/Alaska/01/2018(H1N1))","","","","","","c"
"QBS20658","566","Human","HA","H3N2","USA","N","2019/01/07","Influenza A virus (A/Alaska/01/2019)","","","","","","c"
"QIZ31852","716","Human","PA","H1N1","USA","N","2020/01/27","Influenza A virus (A/Alaska/01/2020)","","","","","","c"
"QIZ31853","232","Human","","H1N1","USA","N","2020/01/27","Influenza A virus (A/Alaska/01/2020)","","","","","","c"
"QIZ31856","469","Human","NA","H1N1","USA","N","2020/01/27","Influenza A virus (A/Alaska/01/2020)","","","","","","c"
"ACD47238","565","Human","HA","H1N1","USA","N","2008/01/16","Influenza A virus (A/Alaska/02/2008(H1N1))","","","","","","c"
"ACU43857","97","Human","M2","H1N1","USA","N","2008/01/16","Influenza A virus (A/Alaska/02/2008(H1N1))","","","","","","c"
"ACU44360","565","Human","HA","H1N1","USA","N","2009/03/10","Influenza A virus (A/Alaska/02/2009(H1N1))","","","","","","c"
"AGF68900","469","Human","NA","H3N2","USA","N","2010/07/22","Influenza A virus (A/Alaska/02/2010(H3N2))","","","","","","c"
"AGF68901","566","Human","HA","H3N2","USA","N","2010/07/22","Influenza A virus (A/Alaska/02/2010(H3N2))","","","","","","c"
"AGK72405","252","Human","M1","H1N1","USA","N","2011/01/14","Influenza A virus (A/Alaska/02/2011(H1N1))","S31N","","","","","c"
"AGK73344","566","Human","HA","H1N1","USA","N","2011/01/14","Influenza A virus (A/Alaska/02/2011(H1N1))","","","","","","c"
"AGL07025","469","Human","NA","H3N2","USA","N","2012/03/06","Influenza A virus (A/Alaska/02/2012(H3N2))","","","","","","c"
"AGZ60575","757","Human","PB1","H3N2","USA","N","2013/02/20","Influenza A virus (A/Alaska/02/2013(H3N2))","","","","","","c"
"AGZ61045","469","Human","NA","H3N2","USA","N","2013/02/20","Influenza A virus (A/Alaska/02/2013(H3N2))","","","","","","c"
"AGZ61268","566","Human","HA","H3N2","USA","N","2013/02/20","Influenza A virus (A/Alaska/02/2013(H3N2))","","","","","","c"
"AGZ61049","469","Human","NA","H3N2","USA","N","2013/02/20","Influenza A virus (A/Alaska/02/2013(H3N2))","","","","","","c"
"AKT08095","469","Human","NA","H1N1","USA","N","2014/01/14","Influenza A virus (A/Alaska/02/2014(H1N1))","","","","","","c"
"AKT08123","252","Human","M1","H1N1","USA","N","2014/01/14","Influenza A virus (A/Alaska/02/2014(H1N1))","S31N","","","","","c"
"AKT08124","97","Human","M2","H1N1","USA","N","2014/01/14","Influenza A virus (A/Alaska/02/2014(H1N1))","S31N","","","","","c"
